ADDR,NCID,CID[0]
"25 MAGGIORA CT",1,09-081394
"25 MAGGIORA DR",2,08-042055
"25 MALTA CT",2,11-906774
"25 MOSS AVE",1,10-049785
"25 OAK HILL CIR",4,07-040902
"25 PEROLY CT",3,10-030938
"25 SHAWNEE CT",2,10-012127
"25 SOUTH HILL CT",6,12-013999
"25 THOUSAND OAKS",1,13-908821
"25 WHITTLE CT",1,07-078672
"25 WOOD CT",1,10-907494
"250  WHITMORE ST",1,09-009889
"250 10TH ST",33,09-070816
"250 11 TH ST",1,10-006274
"250 12TH",1,09-070140
"250 12TH ST",11,10-049720
"250 17TH ST",11,08-070613
"250 19TH ST",9,08-022079
"250 19TH ST.",2,10-043315
"250 20TH",1,12-015816
"250 21ST ST",1,08-011071
"250 23RD ST",2,09-006836
"250 24TH ST",2,12-024977
"250 27TH ST",5,09-066223
"250 28TH ST",1,07-028570
"250 29TH AV",1,13-031305
"250 29TH ST",6,12-018926
"250 2ND ST",6,10-007260
"250 30TH ST",4,10-019627
"250 3RD ST",2,09-028856
"250 40TH ST",4,07-029327
"250 41 ST ST",1,11-054322
"250 41ST ST",10,11-030690
"250 4TH ST",1,11-017682
"250 5TH ST",4,07-088842
"250 8TH ST",5,12-018998
"250 9TH ST",3,09-000043
"250 ACTON PL",1,10-038034
"250 ALICE ST",1,10-064987
"250 BAY PL",1,07-090226
"250 BELLEVUE AV",1,08-030501
"250 BLK FAIRMOUNT AV",1,13-054509
"250 BLK OF 27TH ST",1,12-006840
"250 BLK OF 2ND ST",1,13-060280
"250 BLK OF 5TH ST.",1,09-009926
"250 BLK OF VAN BUREN",1,12-062904
"250 BLK PARK VIEW TER",1,13-037746
"250 BLK PERKINS AVE",1,13-030870
"250 BLOCK 13TH ST.",1,12-040875
"250 BLOCK 14TH ST",1,13-043452
"250 BLOCK 4TH ST",1,13-016186
"250 BLOCK OF 14TH ST",1,08-046350
"250 BLOCK OF 2ND ST",1,13-060179
"250 E 11TH ST",2,11-024892
"250 E 18TH ST",9,07-027009
"250 E.11TH ST",1,11-050791
"250 EMBARCADERO WEST",1,11-031031
"250 FAIRMOUNT AVE",1,13-023636
"250 FRANK H OGAWA",1,10-045549
"250 FRANK H OGAWA PLAZA 5TH FLOOR",2,13-908629
"250 FRANK H OGAWA PLZ",117,11-007480
"250 FRANK OGAWA PL",2,12-124697
"250 FRANK OGAWA PLAZA",7,11-053073
"250 FRANK OGAWA PLZ",1,12-026126
"250 FRANKOGAWA PLAZA",1,08-006671
"250 GRAND AV",23,11-055379
"250 HANOVER AV",2,11-046786
"250 HARRISON ST",1,11-906776
"250 JAYNE AV",3,08-078408
"250 JEFFERSON ST",1,07-009170
"250 LAKESIDE DR",1,12-123950
"250 LEE ST",5,11-054790
"250 MACARTHUR BLVD",12,12-049643
"250 MAPLE WAY",1,07-063017
"250 MONTECITO AV",15,07-074827
"250 MONTECITO AVE",1,13-037079
"250 NEWTON AV",1,11-011761
"250 PERRY PL",1,07-017849
"250 RIDGEWAY AV",4,12-127390
"250 RISHELL DR",1,07-015638
"250 SAN LEANDRO BL",1,10-029432
"250 SANTA CLARA AV",8,13-035961
"250 STONEWALL RD.",1,09-009591
"250 TUNIS RD",2,11-048587
"250 VERNON ST",5,08-012636
"250 VICTORY CT",3,07-046226
"250 W. MACARTHUR",1,08-049748
"250 WHITMORE",1,13-004202
"250 WHITMORE ST",25,11-013812
"250 WOODBRIGDE CENTER DR",1,11-908359
"250-10TH ST",1,09-072534
"2500  E27TH AVE",1,08-059721
"2500 108TH AV",8,10-046442
"2500 108TH AVE",2,09-038693
"2500 10TH AV",5,14-006729
"2500 10TH ST",1,14-009047
"2500 11TH AV",3,13-063480
"2500 11TH ST",2,13-063103
"2500 13TH AV",7,13-049913
"2500 15TH ST",2,14-004494
"2500 16TH ST",1,13-008598
"2500 19TH AV",5,11-041497
"2500 19TH AVE",1,10-042916
"2500 20TH ST",1,11-039472
"2500 21ST AV",8,10-011806
"2500 23RD AV",8,07-034488
"2500 23RD ST",1,13-059144
"2500 25TH AV",9,09-084739
"2500 29TH STREET",1,14-005844
"2500 34TH AV",7,08-015762
"2500 35TH AV",15,08-035962
"2500 35TH AVE",1,14-000832
"2500 38TH AV",12,10-041980
"2500 55TH AV",3,09-009785
"2500 60TH AV",7,10-021669
"2500 61ST AV",10,09-059315
"2500 62ND AV",7,11-014602
"2500 63RD AV",11,14-903100
"2500 64TH AV",16,12-123839
"2500 64TH ST",1,12-124272
"2500 65TH AV",8,09-080623
"2500 66TH AV",5,13-062040
"2500 66TH AVE",1,14-007408
"2500 68TH AV",6,13-001316
"2500 73RD AV",19,14-000826
"2500 74TH AV",7,12-003343
"2500 76TH AV",4,12-023886
"2500 77TH AV",10,12-054523
"2500 78TH AV",7,08-080932
"2500 7TH AV",4,12-065109
"2500 7TH ST",4,09-066569
"2500 80TH AV",1,12-125180
"2500 82ND",1,08-047849
"2500 82ND AV",9,14-006883
"2500 83RD AVE",1,11-061159
"2500 84TH AV",6,08-051718
"2500 8TH AV",4,10-049039
"2500 94TH AV",5,14-007830
"2500 94TH AVE",1,11-047320
"2500 96TH",1,08-025690
"2500 98TH AV",7,09-054083
"2500 98TH AVE",1,12-062677
"2500 99TH AV",5,10-000513
"2500 9TH AV",6,08-087584
"2500 ADELINE ST",13,12-065861
"2500 ALIDA ST",1,14-003641
"2500 BARTLETT ST",7,13-913415
"2500 BEATTY",1,07-097479
"2500 BLK  84TH AVE",1,09-005864
"2500 BLK & SAN PABLO AVE",1,12-005189
"2500 BLK 12TH AV",1,11-048826
"2500 BLK 26TH AVE",1,13-057210
"2500 BLK 62ND AVE",1,11-055482
"2500 BLK 73RD AV.",1,13-042145
"2500 BLK 83RD AVE",1,12-043130
"2500 BLK 88TH AVE",1,10-066859
"2500 BLK 98TH AVE",1,12-003493
"2500 BLK CHURCH ST",1,12-044858
"2500 BLK E.20TH ST.",1,12-009770
"2500 BLK EMBARCARDERO ROAD",1,12-021364
"2500 BLK FOOTHILL BLVD",1,12-005385
"2500 BLK INTERNATIONAL BLVD",1,12-000265
"2500 BLK MARTIN LUTHER KING JR WAY",1,11-030709
"2500 BLK MOUNTAIN BLVD",1,12-063208
"2500 BLK OF 75TH AVE.",1,12-044451
"2500 BLK OF 78TH AVE",1,13-030871
"2500 BLK OF 8TH AVE",1,13-041741
"2500 BLK OF CHURCH ST",1,08-048473
"2500 BLK OF COURTLAND AV",1,11-011603
"2500 BLK OF COURTLAND AVE",1,13-004335
"2500 BLK OF E.16TH ST",1,13-030385
"2500 BLK OF LAKESHORE AVE",1,12-010956
"2500 BLK OF MARKET ST",1,12-014811
"2500 BLK OF OLIVER AVE",1,11-054412
"2500 BLK OF SAN PABLO AVE",1,11-039616
"2500 BLK WILLOW ST",1,08-050793
"2500 BLOCK  FERN ST.",1,11-057562
"2500 BLOCK 73RD AVE",1,13-023339
"2500 BLOCK MARTIN LUTHER KING JR WAY",1,13-032867
"2500 BLOCK OF NORTHGATE AVE",1,09-901304
"2500 BLOCK OF WOOD STREET",1,12-029076
"2500 BROADWAY",23,12-059824
"2500 CAMPBELL ST.",1,11-039983
"2500 CASTELLO ST",2,11-020945
"2500 CHARLESTON ST",1,14-903135
"2500 CHURCH",1,10-033949
"2500 COLE ST",2,08-035643
"2500 COOLIDGE AV",5,09-023662
"2500 COURTLAND",1,13-042096
"2500 COURTLAND AV",3,10-053577
"2500 DAMUTH ST",3,12-017432
"2500 DURANT AV",1,14-003025
"2500 E 11TH ST",6,08-045668
"2500 E 12TH ST",22,09-005409
"2500 E 14TH ST",2,10-041002
"2500 E 16 ST",1,08-069010
"2500 E 16TH ST",26,12-039268
"2500 E 20TH",2,10-061730
"2500 E 20TH ST",23,10-041134
"2500 E 21ST ST",6,08-085761
"2500 E 22ND ST",10,14-000690
"2500 E 23RD ST",4,09-038965
"2500 E 27TH ST",14,10-027788
"2500 E 29TH ST",5,13-060392
"2500 E. 22TH ST",1,12-010199
"2500 E.12TH",1,10-021227
"2500 E26TH ST",1,13-012694
"2500 EMBARCADERO",41,14-901224
"2500 ENBARCADERO",1,07-033567
"2500 F00THILL",2,10-006705
"2500 FAIRMOUNT DR",1,12-013601
"2500 FOOTHILL BOULEVARD",1,14-902920
"2500 FRANCES ST",3,10-031436
"2500 FRUITVALE AV/ I/C",1,08-009168
"2500 GRANDE VISTA AV",7,13-058736
"2500 GRIZZLEY PEAK",1,13-057857
"2500 GRIZZLY PEAK",1,10-003014
"2500 HAROLD ST",2,14-006693
"2500 HARRINGTON AV",8,08-024877
"2500 HARRISON ST",8,11-055855
"2500 HAVENSCOURT BLVD",14,14-008098
"2500 HIGH ST",21,14-003915
"2500 HIGHLAND AV",6,10-018444
"2500 HIGHLAND AVE",1,13-062984
"2500 HUMBOLDT AV",10,08-093601
"2500 INTERNATIONAL BLVD",81,14-012760
"2500 INTERNATIONAL BOULEVARD",1,14-902959
"2500 IVY DR",26,11-002238
"2500 KINGSLAND AV",13,07-027715
"2500 KIRKHAM ST",4,12-053563
"2500 LARKSPUR LANDING CIRCLE",1,13-044848
"2500 LEIMERT BLVD",1,11-023053
"2500 LILAC ST",2,07-082198
"2500 LINDEN ST",8,11-028413
"2500 LOGAN ST",1,08-058411
"2500 MACARTHUR BLVD",11,11-049841
"2500 MAGNOLIA ST",5,11-053004
"2500 MANDELA PKWY",8,07-079711
"2500 MARKET ST",26,12-054099
"2500 MARTIN LUTHER KING BLVD",1,09-009145
"2500 MARTIN LUTHER KING JR W",4,14-901918
"2500 MARTIN LUTHER KING JR WAY",2,10-001250
"2500 MASON ST",6,13-043768
"2500 MAXWELL AV",3,13-031515
"2500 MEAD",1,09-079277
"2500 MIDDLE HARBOR",1,12-040776
"2500 MIDDLE HARBOR RD",14,12-042289
"2500 MLK",1,09-030913
"2500 MONTANA ST",8,10-056078
"2500 MONTICELLO AVE",1,14-013257
"2500 MOUNTAIN BLVD",1,10-022092
"2500 MYRTLE ST",7,08-023348
"2500 NORTHGATE AVE",1,12-061259
"2500 POPLAR ST",5,12-066051
"2500 POTOMAC ST",3,14-000370
"2500 RAWSON ST",1,14-009645
"2500 RITCHIE ST",8,10-038058
"2500 SAN PABLO",3,10-021077
"2500 SAN PABLO AV",104,07-055846
"2500 SAN PABLO AVE",2,14-901846
"2500 SEMINARY AV",20,11-057656
"2500 STOCKBRIDGE DR",1,14-004732
"2500 T6ELEGRAPH",1,09-061212
"2500 TAYLOR AV",3,08-009274
"2500 TAYLOR ST",1,09-040337
"2500 TELEGRAPH",2,10-050295
"2500 TELEGRAPH AV",40,12-912162
"2500 UNION ST",3,07-039525
"2500 VALDEZ ST",4,10-055337
"2500 W MONTANA",1,14-902584
"2500 WAKEFIELD AV",1,08-023997
"2500 WALLACE ST",21,10-024266
"2500 WEBSTER",1,11-908854
"2500 WEST ST",31,09-900007
"2500 WILBUR ST",1,14-007581
"2500 WILLOW ST",4,11-034362
"2500 WOOD ST",5,11-015639
"25000 BLK PARKER AVE",1,12-000966
"2500BLK 35TH AVE",1,13-000040
"2500BLK 78TH AVE",1,12-041862
"2500BLK OF E16TH ST",1,14-005717
"2500BLK OF TELEGRAPH AVE",1,13-017175
"2501 15TH ST",3,11-043206
"2501 23RD AV",1,10-026175
"2501 24TH AV",1,11-031567
"2501 26TH AV",2,11-050917
"2501 60TH AV",6,07-016625
"2501 63RD AV",3,07-022128
"2501 65TH AV",3,10-904691
"2501 74TH AV",4,11-048461
"2501 75TH AV",1,12-029743
"2501 76TH AV",5,11-039172
"2501 7TH AV",11,13-013891
"2501 7TH ST",1,10-039836
"2501 80TH AV",3,09-061872
"2501 ADELINE ST",2,07-052510
"2501 BELAIR RD",1,11-904906
"2501 BROADWAY",1,12-913399
"2501 CARMEL ST",2,07-008354
"2501 COLE ST",1,11-033412
"2501 E 15TH ST",7,11-055512
"2501 E 20TH ST",1,11-910392
"2501 E 28TH ST",1,08-074268
"2501 FRANCES ST",2,11-034859
"2501 HIGH ST",9,11-012226
"2501 HUMBOLDT AV",26,11-041088
"2501 INTERNATIONAL BLVD",10,07-029402
"2501 IVY DR",16,12-911147
"2501 LINCIOLN",1,08-068827
"2501 MACARTHUR BLVD",1,08-082465
"2501 MARTIN LUTHER KING JR WY",1,13-026396
"2501 PARK BLVD",1,10-068613
"2501 PENSACOLA",1,07-063242
"2501 PINE ST",1,13-049609
"2501 POPLAR ST",1,13-908473
"2501 RAMPART ST",4,10-047453
"2501 SCENIC AV",1,11-059858
"2501 STOCKBRIDGE DR",1,11-062050
"2502 13TH AV",3,13-042984
"2502 E 10TH ST",1,09-031613
"2502 E 15TH ST",4,10-065431
"2502 E 24TH ST",1,07-095823
"2502 W 14TH",1,13-053395
"2503 74TH AV",1,10-052272
"2503 82ND AV",1,11-042099
"2503 HARRINGTON AV",1,11-046277
"2503 INTERNATIONAL BL",1,11-062733
"2503 WALLACE ST",1,13-061586
"2504 12TH AV",1,11-033005
"2504 E 24TH ST",2,11-059988
"2504 MACARTHUR BLVD",2,11-044169
"2504 MYRTLE ST",2,09-070792
"2504 TELEGRAPH AV",1,09-008930
"2505 10TH AV",29,10-049548
"2505 60TH AV",1,10-057644
"2505 74TH AV",1,10-045810
"2505 79TH AVE.",1,11-037815
"2505 BATAAN ST",3,07-080984
"2505 DWIGHT WY",1,12-012845
"2505 FOOTHILL",1,10-067958
"2505 FOOTHILL BLVD",2,08-005591
"2505 HARRINGTON AV",2,07-070034
"2505 MAGNOLIA ST",1,09-033899
"2505 MIDDLE HARBOR RD",12,09-064536
"2505 PARKER AV",2,10-011835
"2505 PARKER AVENUE",1,11-049066
"2505 POPLAR ST",1,13-049373
"2505 TELEGRAPH AV",3,11-907369
"2505 WALLACE ST",4,09-037516
"2506 11TH AV",1,09-053108
"2506 13TH AV",2,13-011140
"2506 60TH AV",1,11-042348
"2506 63RD AV",1,10-018377
"2506 64TH AV",11,11-910687
"2506 77TH AV",1,09-074521
"2506 98TH AV",1,11-006004
"2506 CAELLO ST",1,11-004193
"2506 CARMEL ST",2,07-014169
"2506 CHEROKEE AV",1,13-012622
"2506 DELMER ST",3,12-026015
"2506 E 10TH ST",2,13-061621
"2506 FOOTHILL BLVD",2,12-020723
"2506 GRANDE VISTA AV",3,11-007057
"2506 GROVEWAY #17",1,10-902237
"2506 HAVENSCOURT BLVD",1,10-030220
"2506 HIGH ST",2,10-904530
"2506 HIGHLAND AV",5,08-056039
"2506 INTERNATIONAL BLVD",24,09-045123
"2506 LEIMERT BLVD",1,08-064971
"2506 MAXWELL AV",1,11-901733
"2506 PARKER AV",4,07-087118
"2506 RAMPART ST",1,07-031899
"2506 RAWSON ST",4,11-026674
"2506 WILBUR ST",3,07-015753
"2507 13TH AV",2,12-051662
"2507 24TH AV",1,09-052137
"2507 60TH AV",1,09-039368
"2507 62ND AV",1,13-022583
"2507 62ND AVE",1,12-065412
"2507 65TH AV",5,10-020383
"2507 68TH AV",3,08-063224
"2507 76TH AV",14,11-055347
"2507 79TH AV",5,12-127643
"2507 82ND AV",1,11-012856
"2507 94TH AV",1,11-017693
"2507 BROADWAY",17,07-022649
"2507 CHEROKEE AV",1,10-021288
"2507 E 15TH ST",8,12-043683
"2507 E 20TH ST",1,12-038212
"2507 E 27TH ST",4,09-084966
"2507 FILBERT ST",1,07-071673
"2507 FRANCES ST",2,07-047323
"2507 GRANDE VISTA AV",4,11-045509
"2507 HIGH ST",1,08-009763
"2507 HUMBOLDT AV",7,11-048648
"2507 INTERNATIONAL BLVD",1,13-010470
"2507 OLIVER AV",2,10-905033
"2507 SCENIC AV",2,11-909373
"2507 WILBUR ST",2,11-903583
"2508 109TH AV",1,10-003248
"2508 66TH AV",1,11-023783
"2508 73RD AV",1,13-034719
"2508 76TH AV",4,07-005375
"2508 79TH AV",1,09-032917
"2508 8TH AV",2,09-048556
"2508 BARTLETT ST",4,10-011853
"2508 E 15TH STREET",1,11-049661
"2508 E 23RD ST",2,09-006988
"2508 E 27TH ST",1,09-085604
"2508 E21 STREET",1,12-029271
"2508 HEARST AV",6,13-056032
"2508 HIGHLAND AV",2,09-063308
"2508 HUMBOLDT AV",2,09-051714
"2508 MYRTLE ST",1,07-050270
"2508 ORCHARD RD",1,08-002375
"2509 19TH AV",3,10-006010
"2509 26TH AV",12,13-049211
"2509 55TH AV",4,12-034467
"2509 77TH AV",2,11-001607
"2509 BROADWAY",2,07-081419
"2509 DELMER ST",1,13-908701
"2509 E 16TH ST",1,10-058259
"2509 E 27TH ST",2,07-075105
"2509 HIGHLAND AV",3,09-058937
"2509 INYO AVE",1,13-034429
"2509 MARKET ST",1,10-001784
"2509 MONTICELLO AV",1,11-027599
"2509 SAN PABLO AV",1,13-030865
"2509 TAYLOR AV",3,09-904606
"250BLK OF FAIRMOUNT AVE",1,13-060622
"251 12TH ST",2,07-080047
"251 30TH ST",2,10-067699
"251 5TH AV",2,09-008253
"251 5TH AVE",1,11-038016
"251 5TH ST",3,11-902740
"251 8TH ST",4,12-051247
"251 ACTON PL",1,10-055722
"251 ADAMS ST",3,12-046144
"251 CAIRO RD",1,11-003976
"251 ELYSIAN FIELDS DR",2,08-001077
"251 MAGILL ST",1,10-061131
"251 MONTE VISTA AV",2,10-007125
"251 PARK VIEW TER",14,13-002038
"251 PERKINS ST",1,10-043167
"251 RISHELL DR",1,11-059721
"251 SILVERADO CT",1,08-004269
"251 VERNON ST",1,10-059896
"2510 23RD",1,09-043901
"2510 26TH AV",3,12-018080
"2510 73RD AV",1,10-006535
"2510 75TH AV",1,11-015052
"2510 78TH AV",1,10-021263
"2510 79TH AV",1,08-004473
"2510 FILBERT ST",3,11-025538
"2510 FRUITVALE AV",4,13-027930
"2510 HIGH ST",2,09-083934
"2510 HIGHLAND AV",4,10-011911
"2510 LINDEN ST",5,12-908249
"2510 MARTIN LUTHER KING",1,11-020773
"2510 MARTIN LUTHER KING JR WY",3,10-061126
"2510 WEST ST",7,10-033711
"2510 WEST STREET",1,08-076111
"2510 WOOD ST",3,07-075375
"2511 11TH AV",8,08-068141
"2511 12TH AV",1,13-050083
"2511 23RD AV",1,13-053172
"2511 24TH AV",1,10-054235
"2511 25TH AV",3,08-039172
"2511 77TH AV",1,13-028581
"2511 7TH AV",9,13-053181
"2511 COOLIDGE AV",2,09-903970
"2511 E 11TH ST",1,09-031015
"2511 E 15TH ST",2,08-038959
"2511 E 29TH ST",4,10-037883
"2511 FILBERT ST",1,11-052307
"2511 HUMBOLDT AVE",1,12-066093
"2511 MARKET ST",1,09-021071
"2511 MASON ST",3,07-009803
"2511 MAVIS ST",2,08-041002
"2511 TELEGRAPH AV",2,09-011047
"2512 13TH AV",4,11-903120
"2512 23RD ST",1,13-004599
"2512 64TH AV",4,08-085264
"2512 66TH AV",1,09-001742
"2512 67TH AV",3,11-907789
"2512 8TH AV",1,10-037290
"2512 98TH AV",1,11-017624
"2512 E 10TH ST",2,07-076703
"2512 E 23RD ST",1,07-095556
"2512 E10TH ST",1,10-011009
"2512 FOOTHILL BLVD",3,10-038223
"2512 GRANDE VISTA AV",4,13-011938
"2512 GRANDE VISTA AVE",1,13-001220
"2512 LINDEN ST",3,12-910504
"2512 RAWSON ST",3,07-028525
"2512 WILBUR ST",3,07-074571
"25125 SANTA CLARA",2,13-905128
"2513 FILBERT ST",3,13-043427
"2514 108TH AV",2,08-054751
"2514 23RD AV",2,13-037487
"2514 38TH AV",7,12-065130
"2514 62ND AV",1,11-024296
"2514 74TH AV",3,11-047553
"2514 79TH AV",6,09-006902
"2514 83RD AV",2,11-015169
"2514 9TH AV",5,12-042080
"2514 CARMEL ST",3,13-905971
"2514 E 22ND ST",3,12-026886
"2514 HEARST AVE",1,11-056067
"2514 HIGH ST",2,07-081886
"2514 IVY DR",3,10-054526
"2514 TRUMAN AV",3,09-042945
"2515 10TH AV",9,12-019993
"2515 14TH AV",5,09-038191
"2515 55TH AV",2,10-045957
"2515 63RD AVE",1,13-032600
"2515 66TH AV",5,09-071641
"2515 68TH AV",1,10-040762
"2515 74TH AV",1,11-003883
"2515 75TH AV",2,12-012480
"2515 82ND AV",1,08-057474
"2515 84TH AV",3,09-041132
"2515 ALIDA ST",1,10-032015
"2515 BANCROFT AVE",1,11-043943
"2515 BARTLETT ST",2,11-901514
"2515 BEST AV",4,12-000421
"2515 CORDOVA ST",2,07-040426
"2515 DELMER ST",2,09-900387
"2515 E 16TH ST",3,11-013532
"2515 E 27TH ST",1,08-031873
"2515 FOOTHILL BLVD",14,07-048683
"2515 HAVENSCOURT BLVD",2,07-068032
"2515 HEARST AV",1,13-909897
"2515 HIGHLAND AV",1,11-022717
"2515 HUMBOLDT AV",4,11-019185
"2515 IVY DR",5,11-004161
"2515 MONTICELLO AV",3,12-902734
"2515 RAMPART ST",3,13-045390
"2515 RAWSON ST",3,11-045480
"2515 SEMINARY AV",1,08-001988
"2516 106TH AV",1,10-015374
"2516 25TH AV",4,12-046899
"2516 66TH AV",4,10-031970
"2516 66TH AVE",2,11-052720
"2516 68TH AV",4,07-091380
"2516 BLANDING AV",1,12-903944
"2516 CARMEL ST",1,10-032446
"2516 E 21ST ST",1,12-900041
"2516 E 27TH ST",2,10-064604
"2516 WILLOW ST",1,12-024969
"2517 19TH AV",2,13-035309
"2517 21ST AV",11,12-125396
"2517 24TH AV",4,13-031233
"2517 74TH AV",8,12-045338
"2517 82ND AV",10,11-024122
"2517 99TH AV",2,13-048429
"2517 9TH AV",2,12-038200
"2517 CHURCH ST",2,09-016225
"2517 E 11TH ST",2,08-026732
"2517 E 15TH ST",1,09-030103
"2517 E 21ST ST",5,11-906095
"2517 E11TH ST",1,12-063541
"2517 FILBERT ST",2,10-905966
"2517 FOOTHILL BLVD",6,09-050716
"2517 MARTIN LUTHER KING JR WY",1,10-014383
"2517 RITCHIE ST",3,11-047834
"2518 26TH AV",7,11-035852
"2518 26TH AVE",1,12-036353
"2518 60TH AV",5,13-061385
"2518 74TH AV",1,07-040473
"2518 75TH AV",2,10-007273
"2518 E 10TH ST",2,11-905800
"2518 E 15TH ST",5,08-068090
"2518 HAVENSCOURT BLVD",1,10-067534
"2518 HIGH ST",2,11-046318
"2518 HUMBOLDT AV",1,11-005370
"2518 MACARTHUR BLVD",4,08-058314
"2518 PARKER AV",3,11-004546
"2518 POTOMAC ST",3,11-026748
"2518 SEMINARY AV",2,09-007331
"2519 109TH AV",2,13-057569
"2519 64TH AV",1,09-026425
"2519 65TH AV",1,11-029261
"2519 75TH AV",2,07-066847
"2519 79TH AV",13,12-026120
"2519 79TH AVE",1,09-052782
"2519 7TH AV",4,10-065145
"2519 E 23RD ST",2,12-046166
"2519 FRANCES ST",1,09-049620
"2519 MARTIN LUTHER KING JR WAY",1,10-051275
"2519 MARTIN LUTHER KING JR WY",10,10-001391
"2519 PARKER AV",3,08-031795
"2519 SAN PABLO AV",21,13-014604
"2519 TRUMAN AV",4,08-053006
"25190 CYPRESS AVE",1,10-905041
"252 ACTON PL",14,12-057060
"252 GANNON RD",3,07-066255
"252 GRAVATT DR",1,11-901754
"252 INTERNATIONAL BLVD",5,10-001253
"252 MAKIN RD",5,09-028493
"252 MATHER ST",1,11-006248
"252 MATHER ST.",1,10-070497
"252 WAYNE AV",1,11-059225
"2520 10TH AV",9,08-060064
"2520 12TH ST",1,12-064942
"2520 13TH AV",1,11-909810
"2520 38TH AV",2,09-019847
"2520 61ST AV",1,09-010409
"2520 63RD AV",2,10-905761
"2520 66TH AV",2,10-011393
"2520 77TH AV",1,13-044162
"2520 80TH AVE",2,13-057004
"2520 84TH AV",1,10-022679
"2520 96TH AV",1,11-907221
"2520 9TH AV",3,11-021889
"2520 ALIDA ST",1,07-036111
"2520 CARMEL ST",3,11-907727
"2520 CASTELLO ST",2,11-016150
"2520 CORDOVA ST",1,09-064686
"2520 DELMER ST",1,11-008424
"2520 E 22ND ST",1,08-080786
"2520 E 24TH ST",2,11-050881
"2520 E 28TH ST",2,09-031206
"2520 E.12TH ST",2,11-046399
"2520 FILBERT ST",3,11-008150
"2520 FOOTHILL BLVD",5,12-004026
"2520 LINDEN ST",1,13-021031
"2520 MARKET ST",13,09-009998
"2520 MONTANA ST",4,07-065952
"2520 MYRTLE ST",2,09-067891
"2520 SEMINARY AV",13,10-901341
"2520 WEST ST",3,07-027229
"25200 SANTA CLARA",1,11-047468
"25200 SANTA CLARA ST",1,09-084606
"2521 60TH AV",1,10-023219
"2521 61ST AV",2,10-030500
"2521 61ST AVENUE",1,09-057223
"2521 63RD AV",3,11-016953
"2521 68TH AV",1,11-057236
"2521 77TH AV",9,10-038625
"2521 77TH AVE",1,13-003844
"2521 80TH AV",1,11-005514
"2521 90TH AV",3,12-124574
"2521 94TH AV",2,09-079380
"2521 DURANT AV",3,10-902073
"2521 E 16TH ST",1,09-017028
"2521 E 23RD ST",5,10-041887
"2521 E 27TH ST",5,07-015822
"2521 FILBERT ST",4,07-038872
"2521 FOOTHILL BLVD",4,12-043885
"2521 GRANDE VISTA AV",2,09-043400
"2521 HARRINGTON AV",2,10-045318
"2521 HAVENSCOURT BLVD",3,13-050859
"2521 MARKET ST",1,09-040079
"2521 MAXWELL AV",2,11-057544
"2521 MYRTLE ST",3,07-004224
"2521 WILBUR ST",1,09-038283
"2522 11TH AV",8,07-075740
"2522 19TH AV",1,10-031450
"2522 23RD AV",2,08-012207
"2522 35TH AV",53,12-001205
"2522 35TH AVE",4,11-040140
"2522 63RD AV",1,09-033481
"2522 68TH AV",4,11-005492
"2522 74TH AV",2,08-021342
"2522 75TH AV",9,10-013183
"2522 75TH AVE",1,10-007497
"2522 94TH AV",2,09-023522
"2522 E 10TH ST",1,10-038776
"2522 HIGH ST",4,12-031729
"2522 HIGHLAND AV",3,12-054373
"2522 LINDEN ST",1,11-024548
"2522 MONTANA ST",1,13-019575
"25222 SOUTH GARDEN",1,13-004714
"2522A HIGH",1,11-011437
"2523 23RD AV",1,11-039490
"2523 77TH AV",12,11-025407
"2523 BROADWAY",1,10-061219
"2523 BROADWAY ( ROSEWOOD HOUSE)",1,10-070156
"2523 E 15TH ST",1,13-015281
"2523 E 24TH ST",1,09-023274
"2523 FOOTHILL BLVD",3,10-043970
"2523 MARKET ST",1,10-063523
"2523 MYRTLE ST",3,13-911694
"2523 POTOMAC ST",1,11-003897
"2523 SCENIC AV",1,11-908496
"2524 14TH AV",1,09-002120
"2524 65TH AV",3,09-070516
"2524 76TH AV",8,09-052474
"2524 99TH AVE",1,11-046488
"2524 BEST AV",1,11-001171
"2524 CLEMENT AV",1,07-018805
"2524 E 27TH ST",1,08-008020
"2524 E 28TH ST",1,10-059615
"2524 FILBERT ST",3,12-910907
"2524 HAVENSCOURT BLVD",2,10-036978
"2524 HIGH ST",9,12-024308
"2524 MARKET ST",6,13-058072
"2524 MONTICELLO AV",1,13-025968
"2524 PARKER AV",2,10-005522
"2524 SIESTA",1,09-904065
"2524 WAKEFIELD AV",1,11-018510
"2524 WILBUR ST",1,11-058118
"2525 11TH AV",2,07-047279
"2525 24TH AV",1,10-062682
"2525 25TH AV",5,09-027542
"2525 64TH AV",2,09-074067
"2525 65TH AV",1,08-011494
"2525 66TH AV",3,11-902112
"2525 82ND AV",2,09-065149
"2525 ALIDA ST",2,08-043847
"2525 CHEROKEE AV",3,08-017784
"2525 CHURCH ST",1,09-054213
"2525 COOLIDGE AV",3,07-046369
"2525 DURANT AV",1,07-067082
"2525 E 11TH ST",8,09-019427
"2525 E 16TH ST",4,13-066023
"2525 E 29TH ST",2,09-035658
"2525 FILBERT ST",2,12-907959
"2525 MANDELA PKWY",5,13-046880
"2525 MARKET ST",3,10-903681
"2525 MASON ST",1,11-057983
"2525 OLIVER AV",1,09-046811
"2525 RITCHIE ST",8,12-033370
"2525 TRUMAN AV",1,12-040255
