ADDR,NCID,CID[0]
"1 KAISER PLAZA",3,11-040228
"1 KAISER PLAZAR",1,09-044238
"1 KAISER PLZ",28,09-023680
"1 KELTON CT",24,12-045028
"1 KEY CT",1,10-009071
"1 KINGWOOD RD",3,08-032727
"1 KIRKLAND CT",1,09-075877
"1 LAKESIDE DRIVE",1,11-036381
"1 MAGGIORA CT",2,09-058472
"1 MARLOW DR",9,09-026356
"1 MELVIN CT",1,11-900687
"1 OAK HILL CIR",1,07-034198
"1 OGAWA PLZ",1,08-084729
"1 RANDWICK AV",1,11-004518
"1 REDDING PL",3,08-008414
"1 RIO",1,11-902227
"1 RIO VISTA AV",2,08-075312
"1 ROSS CIR",1,07-099119
"1 RYDAL CT",1,11-053319
"1 S  S",1,11-909360
"1 SALLY RIDE WY",8,11-905796
"1 SALLYRIDE WAY",1,11-904837
"1 SAMARIA LN",2,13-910683
"1 SERENO CIR",1,11-900071
"1 SERRAMAR DR",2,09-033014
"1 SKYWAY LN",1,07-005935
"1 SOUTHLAND MALL",1,12-905366
"1 SPORTS PARKWAY",1,10-901103
"1 STANLEY PL",1,11-017100
"1 TWITTER LN",1,09-048569
"1 VAN CLEAVE WY",1,11-024707
"1 WASHINGTON ST",1,09-022792
"1 WEBSTER ST",1,11-050970
"1 WEE BLYTHEN",1,11-903008
"1 WEST CIR",1,08-050899
"1 WESTWOOD CT",1,11-909546
"1 WHITTLE CT",2,10-907426
"1 WOODCREST CIR",1,10-065817
"1 ZHONE WY",1,09-033402
"1-2525 ST CATHERINES ST",1,10-061261
"10 10TH ST",67,12-013462
"10 10TH STREET",1,12-004977
"10 46 87TH",1,09-020388
"10 6TH ST",1,07-091215
"10 7TH ST",3,10-039056
"10 AGNES ST",1,11-025877
"10 BURDECK CT",2,11-007045
"10 CABRILLO PL",1,11-903493
"10 CHIMNEY ROCK",1,08-016028
"10 CLARA CT",1,10-041466
"10 CORTEZ CT",1,11-906133
"10 DOROTHY PL",2,10-060527
"10 E 12TH",1,11-024713
"10 ELDRIDGE AV",1,09-027918
"10 EVERGREEN AV",1,10-029525
"10 GRAHAM PL",1,10-018445
"10 GRAND AV",1,13-024921
"10 GRASS VALLEY CT",1,08-061115
"10 GREGORY PL",1,09-070562
"10 HEGENBERGER CT",2,11-057716
"10 HEGENBERGER RD",63,07-072461
"10 HILLCREST CT",1,11-043061
"10 KINGWOOD RD",2,09-904816
"10 KNOLL RIDGE WY",2,09-081830
"10 LINDA AVE",1,13-055629
"10 MAGGIORA DR",2,08-037768
"10 MARLOW DR",3,10-045148
"10 MASONIC PL",1,10-018437
"10 MONTWOOD WY",5,13-036921
"10 MOSS AV",18,12-909638
"10 PEROLY CT",1,07-089818
"10 RANDWICK AV",1,09-043527
"10 SARONI CT",1,10-902011
"10 SEQUOYAH VIEW DR",2,09-071557
"10 SKYWAY LN",1,09-016862
"10 ST",1,11-905696
"10 STEPHENS",2,11-003562
"10 STEPHENS WY",2,09-029400
"10 TATE TER",2,09-076833
"10 TH ST AND CAMBELL ST.",1,07-076550
"10 TOWN SQUARE PL",2,09-027882
"10 VAN CLEAVE WY",3,11-900494
"10 VILLANOVA LN",2,13-042653
"10 WASHINGTON ST.",1,10-003932
"100  20TH ST",1,07-034204
"100 10TH ST",12,14-902987
"100 11TH ST",6,13-043036
"100 12TH",1,09-053800
"100 12TH ST",19,08-013505
"100 13TH ST",8,07-007045
"100 14TH ST",39,13-018933
"100 15TH ST",3,14-004703
"100 16TH ST",2,10-043677
"100 17TH ST",9,09-024596
"100 19TH ST",1,14-005800
"100 21ST ST",1,09-004068
"100 22ND ST",1,12-065002
"100 23RD ST",1,08-079895
"100 2ND ST",7,13-015740
"100 41ST ST",20,14-903305
"100 6TH ST",11,07-081295
"100 72ND AVE",1,13-063450
"100 8TH ST",8,07-059225
"100 98TH AV",16,08-084861
"100 98TH AV-CHEVRON GAS STA",1,13-065041
"100 98TH AVE",5,14-902938
"100 9TH AV",1,13-004800
"100 ALPINE TER",1,10-026121
"100 ALTA RD",1,11-029563
"100 BATAAN ST",1,09-076145
"100 BAY O VISTA",1,08-007708
"100 BAY PL.",1,09-903976
"100 BAY PLACE",1,09-038273
"100 BAY ST",3,11-048531
"100 BAYO VISTA AV",9,12-001985
"100 BIGGE",1,14-012925
"100 BLK 12TH ST",1,09-050797
"100 BLK 5TH ST",1,09-064188
"100 BLK 7TH ST",1,13-053312
"100 BLK EXCELSIOR CT",1,12-009152
"100 BLK FRANKLIN ST.",1,13-057027
"100 BLK HEGENBERGER LOOP",1,13-039706
"100 BLK MAKIN RD",1,14-007334
"100 BLK MONTELL ST",1,10-066625
"100 BLK OF 9TH ST",1,13-048551
"100 BLK OF BAYO VISTA AV",1,13-030734
"100 BLK OF FRANKLIN STREET",1,13-035520
"100 BLK OF GRAND AVE",1,07-069756
"100 BLK OF JOHN ST",1,11-061053
"100 BLK STANLEY PL",1,12-055787
"100 BLOCK 10TH ST.",1,12-005942
"100 BLOCK 7TH STREET",1,12-004505
"100 BLOCK 9TH ST.",1,14-009908
"100 BLOCK CLAY ST",1,13-013056
"100 BLOCK OF BROADWAY",1,13-063276
"100 BLOCK OF E. 12TH ST.",1,09-029893
"100 BLOCK OF LAKESIDE DRIVE",1,11-047725
"100 BRISTOL BLVD",1,10-903264
"100 BROADWAY",29,14-005350
"100 BRUSH ST",2,11-050208
"100 BUCKEYE AV",1,11-011795
"100 CAIRO RD",4,13-027951
"100 CALDECOTT LN",3,11-039801
"100 CITY LIMITS CIR",1,14-903408
"100 COVINGTON ST",2,09-062903
"100 CROSS RD",1,14-902433
"100 E 10TH",2,10-031962
"100 E 10TH ST",9,09-073686
"100 E 10TH ST.",1,13-019913
"100 E 11TH ST",3,10-052487
"100 E 12TH ST",23,10-007040
"100 E 15TH ST",9,10-063442
"100 E 16TH ST",5,13-045292
"100 E 18TH ST",3,07-046663
"100 E 20TH ST",1,07-099463
"100 E 8TH ST",2,07-079109
"100 E. 12TH ST",1,14-008812
"100 E10TH ST",1,11-052062
"100 ECHO AV",6,07-005591
"100 ELDRIDGE AV",4,08-021601
"100 ELYSIAN FIELDS DR",2,13-066227
"100 EMBARCADERO",19,08-056968
"100 EMBARCADERO WEST",22,10-033988
"100 ENTRADA AV",2,08-002536
"100 FALLON ST",2,10-039677
"100 FARRELLY DR",1,12-126267
"100 FLORENCE AV",2,12-048552
"100 FOOTHILL BLVD",4,11-001185
"100 FRANK H OGAWA PLZ",3,14-013898
"100 FRANK OGAWA PLAZA",1,12-017489
"100 FRANKLIN ST",12,14-903149
"100 GHORMLEY AV",4,10-003703
"100 HAMILTON AV",1,13-901940
"100 HEGENBERGER LOOP",16,12-049530
"100 HEGENBERGER RD",18,13-011065
"100 HEGENBERGER RD.",1,10-062141
"100 HERMOSA AV",1,13-913697
"100 HIGH ST",6,11-017037
"100 HUNTER AV",7,10-005160
"100 INTERNATIONAL",4,10-042287
"100 INTERNATIONAL BLVD",10,07-035449
"100 ISLETON AV",3,10-038613
"100 JACKSON ST",3,13-021082
"100 JEFFERSON ST",17,14-901966
"100 JOHN ST",1,14-901320
"100 KERVWEN AVE.",1,08-074466
"100 KERWIN AV",5,13-064755
"100 LAIR CT",1,10-065538
"100 LAKEPARK",1,13-006400
"100 LAKESHORE AV",1,10-050010
"100 LAKESIDE DR",8,11-032303
"100 LARKIN",1,12-039520
"100 LARKIN ST",1,10-050852
"100 LINDA AV",4,09-020247
"100 LINDEN ST",1,10-032319
"100 LOUVAINE AV",2,10-012462
"100 MACARTHUR BLVD",19,08-028044
"100 MADISON ST",5,10-057964
"100 MAGGIORA DR",2,13-063568
"100 MARLOW DR",3,14-013734
"100 MARTIN LUTHER KING JR WY",9,09-022311
"100 MONTE CRESTA",1,10-016445
"100 MONTECITO AV",13,11-030662
"100 MONTECITO AVE",1,10-046259
"100 MONTELL",1,12-025757
"100 MONTWOOD WAY",1,14-011395
"100 MOSS AV",23,11-028102
"100 MYRTLE ST",1,14-002773
"100 OAK ST",16,12-903512
"100 ORANGE ST",1,08-006501
"100 PEARL",1,09-046880
"100 PEARL ST",8,07-047799
"100 PERKINS ST",1,07-060276
"100 PERRY PL",2,13-063965
"100 PINE HILLS LN",1,14-900732
"100 REVERE ST",1,14-003713
"100 ROSS CIR",1,07-032547
"100 SAMARIA LN",1,14-900463
"100 SANTA CLARA AV",5,09-080203
"100 SELKIRK ST",1,10-000601
"100 SEQUOYAH VIEW DR",1,10-034921
"100 SONIA ST",1,14-903015
"100 STANLEY PL",10,08-071930
"100 STAWALL",1,09-069208
"100 SWAN WY",5,12-911281
"100 THOUSAND OAKS",1,14-004420
"100 TUNIS RD",2,14-009853
"100 VERNON ST",4,09-054210
"100 VICENTE",1,14-003565
"100 VILLANOVA DR",1,08-061270
"100 W EMBARCADERO",1,14-901240
